name,cid
11428,11428
78925,78925
17756,17756
8016,8016
111509,111509
7358,7358
11429,11429
14493,14493
12239,12239
10448,10448
11232,11232
11508,11508
7745,7745
24250,24250
2724189,2724189
8148,8148
8902,8902
19463,19463
7616,7616
7767,7767
2915,2915
62358,62358
11723,11723
31370,31370
8769,8769
259994,259994
439846,439846
11429,11429
10560,10560
31344,31344
169019,169019
220010,220010
439352,439352
80080,80080
2723888,2723888
445969,445969
18302,18302
175854,175854
45051688,45051688
11240,11240
20928,20928
5364919,5364919
5356796,5356796
5364448,5364448
62204,62204
5326159,5326159
5326160,5326160
5364920,5364920
45051688,45051688
6587,6587
11241,11241
6562,6562
7853,7853
12051,12051
7767,7767
2915,2915
8114,8114
5942,5942
11718,11718
11660,11660
6502,6502
5324279,5324279
11261,11261
521348,521348
65413,65413
638066,638066
225936,225936
522071,522071
11182,11182
98781,98781
5284503,5284503
19919,19919
65564,65564
19754,19754
16656,16656
10925,10925
13855,13855
15286,15286
14072,14072
12347,12347
18175,18175
78484,78484
80408,80408
7777,7777
13534,13534
11863,11863
12339,12339
8075,8075
7821,7821
520682,520682
25799,25799
77151,77151
11675,11675
25975,25975
104775,104775
12338,12338
9664,9664
35349,35349
399848,399848
111843,111843
20946,20946
32033,32033
51806,51806
11412,11412
77151,77151
637929,637929
643785,643785
19966,19966
8126,8126
6433417,6433417
11244,11244
69963,69963
146586,146586
639661,639661
11255,11255
446973,446973
643789,643789
10887828,10887828
6432654,6432654
32196,32196
12417,12417
13181,13181
8132,8132
88211,88211
7287,7287
91563,91563
6430713,6430713
11203,11203
13558,13558
5324282,5324282
65290,65290
91435,91435
79049,79049
21122,21122
5318017,5318017
11601,11601
10993,10993
643935,643935
439791,439791
18186137,18186137
73422990,73422990
8472,8472
20858,20858
11675,11675
16662,16662
12672,12672
65564,65564
9773,9773
78344,78344
7973,7973
12368,12368
77129,77129
78344,78344
96125,96125
8056,8056
12347,12347
69632,69632
7977,7977
8140,8140
8100,8100
66929,66929
71601,71601
13556,13556
35364,35364
10568,10568
78373,78373
14480,14480
68409,68409
6401,6401
12353,12353
11733,11733
19846,19846
7818,7818
8074,8074
12956,12956
20274,20274
24227,24227
15457,15457
12355,12355
9998,9998
12380,12380
10556,10556
12291,12291
11243,11243
7286,7286
21618,21618
69952,69952
10892,10892
20858,20858
12742,12742
11533,11533
13007,13007
19754,19754
61632,61632
188318,188318
11523,11523
27596,27596
12386,12386
520409,520409
11246,11246
17148,17148
17149,17149
19754,19754
12339,12339
12338,12338
78484,78484
11182,11182
69412,69412
12339,12339
77289,77289
6430713,6430713
20858,20858
12250,12250
111843,111843
12355,12355
522459,522459
78373,78373
8100,8100
12368,12368
8056,8056
66929,66929
10796,10796
15820984,15820984
4378561,4378561
21249654,21249654
18668094,18668094
2723922,2723922
7901,7901
14454,14454
25006,25006
78344,78344
7851,7851
13837,13837
13363,13363
12245,12245
522769,522769
7719,7719
93573,93573
74819,74819
11202,11202
104807,104807
19919,19919
94294,94294
18430,18430
75613,75613
12361,12361
25798,25798
25799,25799
16032,16032
8072,8072
19919,19919
13589,13589
7994,7994
25975,25975
78361,78361
69021,69021
18150,18150
8075,8075
31255,31255
12225,12225
7821,7821
17352,17352
12225,12225
94292,94292
102515,102515
16565,16565
11264,11264
85862,85862
68410,68410
10887828,10887828
83632,83632
14072,14072
22468,22468
11536,11536
12961,12961
6502,6502
65564,65564
12417,12417
16656,16656
13855,13855
68424,68424
12514,12514
18175,18175
11250,11250
11255,11255
110968,110968
25799,25799
286,286
31255,31255
8075,8075
7821,7821
13589,13589
25798,25798
16032,16032
8072,8072
7901,7901
12361,12361
25975,25975
9773,9773
25006,25006
78344,78344
7851,7851
13837,13837
13363,13363
12245,12245
522769,522769
7719,7719
93573,93573
74819,74819
11202,11202
104807,104807
19919,19919
94294,94294
18430,18430
75613,75613
12361,12361
25798,25798
25799,25799
16032,16032
8072,8072
19919,19919
13589,13589
7994,7994
25975,25975
78361,78361
69021,69021
18150,18150
8075,8075
31255,31255
12225,12225
7821,7821
17352,17352
12225,12225
94292,94292
102515,102515
16565,16565
11264,11264
85862,85862
68410,68410
10887828,10887828
83632,83632
14072,14072
22468,22468
11536,11536
12961,12961
6502,6502
65564,65564
12417,12417
16656,16656
13855,13855
68424,68424
79081,79081
16375,16375
12489,12489
9262,9262
79341,79341
82140,82140
69020,69020
81265,81265
67519,67519
16658,16658
185226,185226
97428,97428
8017,8017
10901,10901
11432,11432
20449,20449
123570,123570
74116,74116
8109,8109
8107,8107
80972,80972
16551,16551
80516,80516
12371,12371
12527,12527
94335,94335
79126,79126
12202,12202
90012,90012
17185,17185
79046,79046
20275,20275
10418,10418
15036,15036
15050,15050
6495,6495
80290,80290
8728,8728
70252,70252
123114,123114
9233,9233
73714,73714
14262,14262
76688,76688
12343,12343
85247,85247
76113,76113
69808,69808
12426,12426
67803,67803
15771,15771
69005,69005
76692,76692
74852,74852
80145,80145
8503,8503
12128,12128
61179,61179
9793737,9793737
12308,12308
66773,66773
12314,12314
12337,12337
11603,11603
11166,11166
6362,6362
11206,11206
10924,10924
12302,12302
2724290,2724290
65066,65066
9890,9890
123129,123129
139711,139711
30220,30220
87370,87370
12619,12619
11603,11603
68042,68042
137127,137127
101594,101594
13596,13596
521941,521941
101594,101594
6327628,6327628
6329250,6329250
6328106,6328106
61244,61244
68337,68337
70434,70434
75361,75361
68983,68983
521157,521157
139377,139377
351065,351065
9746,9746
67794,67794
609492,609492
221126,221126
76430,76430
18452,18452
69368,69368
7299,7299
2773261,2773261
74404,74404
69605,69605
344373,344373
117476,117476
69663,69663
18922,18922
74208,74208
74859,74859
11274989,11274989
78747,78747
230373,230373
77195,77195
70704,70704
67515,67515
67164,67164
157660071,157660071
25244088,25244088
160693,160693
136187,136187
12129,12129
74442,74442
10420,10420
123483,123483
221387,221387
137909,137909
89119,89119
101941,101941
117690,117690
69365,69365
2734074,2734074
78302,78302
123098,123098
77628,77628
78485,78485
11320964,11320964
170873,170873
559387,559387
76872,76872
33646,33646
9023,9023
3083954,3083954
72935,72935
498446,498446
351064,351064
11344169,11344169
269920,269920
77877,77877
139809,139809
87492,87492
69639,69639
305896,305896
79147,79147
79890,79890
45051889,45051889
22053,22053
20024,20024
522765,522765
81782,81782
62702,62702
11655,11655
75300,75300
94964,94964
5366239,5366239
252359,252359
15656,15656
5365904,5365904
5364387,5364387
5460161,5460161
5460161,5460161
637572,637572
637525,637525
148793,148793
638102,638102
638098,638098
6999002,6999002
12365893,12365893
6999919,6999919
643776,643776
5364628,5364628
6328186,6328186
6335187,6335187
68173,68173
6328051,6328051
6328620,6328620
16683036,16683036
16683070,16683070
16211297,16211297
19726,19726
86588470,86588470
69366,69366
70712,70712
75562,75562
68536,68536
78110,78110
14015,14015
11644,11644
12521357,12521357
61666,61666
4293993,4293993
3427831,3427831
644041,644041
76212,76212
137636,137636
81503,81503
521297,521297
10978,10978
22254185,22254185
357594,357594
350667,350667
85756,85756
17381,17381
138050,138050
150783,150783
79136,79136
207363,207363
519310,519310
78937,78937
139376,139376
190319,190319
5046330,5046330
98346,98346
101671,101671
29656,29656
48038,48038
75408,75408
102504,102504
138397,138397
355841,355841
11665,11665
110788,110788
13607,13607
521020,521020
10986200,10986200
24232,24232
97502,97502
573283,573283
83131,83131
83358,83358
6993810,6993810
9548680,9548680
102661,102661
136498,136498
143049,143049
67162,67162
91415,91415
108574,108574
547370,547370
67517,67517
12513,12513
24622,24622
67510,67510
75478,75478
81671,81671
117787,117787
565560,565560
641045,641045
2733289,2733289
83226,83226
6429536,6429536
66086,66086
73951,73951
76673,76673
91202,91202
249017,249017
6427121,6427121
19951,19951
140854,140854
18053,18053
521280,521280
522085,522085
6999786,6999786
78087,78087
6950248,6950248
114858,114858
214264,214264
166921,166921
65136,65136
80245,80245
136706,136706
548463,548463
6999724,6999724
78683,78683
5366234,5366234
15619,15619
197870,197870
200674,200674
642661,642661
6484,6484
40555,40555
524600,524600
88703,88703
5364400,5364400
12706,12706
74636,74636
78206,78206
520943,520943
6994332,6994332
12362,12362
641773,641773
134652,134652
137078,137078
134838,134838
23272,23272
5179950,5179950
5325481,5325481
6999938,6999938
82457,82457
22064,22064
140124,140124
70190,70190
70940,70940
90803,90803
80386,80386
118609,118609
119521,119521
2774270,2774270
197760,197760
13131,13131
30210,30210
5357249,5357249
9768,9768
3036388,3036388
47955,47955
519375,519375
110919,110919
139723,139723
285,285
16226,16226
18312,18312
14020,14020
79379,79379
637757,637757
642322,642322
10374415,10374415
18393,18393
78708,78708
81653,81653
86932,86932
21460,21460
5364850,5364850
5463339,5463339
14249191,14249191
525453,525453
525370,525370
5360664,5360664
6398419,6398419
18314,18314
146884,146884
119403,119403
74970,74970
80053,80053
141483,141483
5364930,5364930
5366861,5366861
108022,108022
529379,529379
204174,204174
33993,33993
61104,61104
70440,70440
5326156,5326156
15301,15301
11600,11600
5460179,5460179
5364850,5364850
120279,120279
4996382,4996382
16629,16629
3870744,3870744
524600,524600
641045,641045
6950248,6950248
641237,641237
637969,637969
22465,22465
70201,70201
66086,66086
70201,70201
67510,67510
9235,9235
67162,67162
92367,92367
164700,164700
78206,78206
2733289,2733289
147580,147580
522583,522583
67517,67517
547370,547370
123203,123203
520711,520711
84466,84466
24622,24622
74636,74636
573283,573283
13131,13131
151479,151479
78090,78090
5364149,5364149
3345103,3345103
10897,10897
642193,642193
642169,642169
11621,11621
168434,168434
96273,96273
6950199,6950199
14865845,14865845
69814,69814
6991979,6991979
59911029,59911029
6950200,6950200
6992421,6992421
2733227,2733227
421842,421842
410615,410615
6999702,6999702
12231239,12231239
222661,222661
2782053,2782053
4474585,4474585
11637,11637
16755639,16755639
3692773,3692773
18706033,18706033
444693,444693
5249138,5249138
26688,26688
74652589,74652589
20651,20651
20717,20717
17863,17863
6999046,6999046
641044,641044
17021,17021
519304,519304
102915,102915
43369,43369
559537,559537
2795198,2795198
548032,548032
13012440,13012440
643048,643048
34690,34690
137202,137202
118419,118419
96273,96273
5365240,5365240
142813,142813
138258,138258
232578,232578
92252,92252
2775189,2775189
